[V],		[mA]
VDC,		IDC
1.00,		-24.9
2.00,		-24.1
3.00,		-23.6
4.00,		-22.9
4.50,		-22.1
4.80,		-20.6
4.90,		-19.7
5.00,		-18.7
5.11,		-17.5
5.21,		-15.9
5.31,		-14.2
5.41,		-11.9
5.51,		-09.3
5.61,		-06.1
5.71,		-02.37
5.75,		-00.68
5.80,		+01.62
5.90,		+06.69
6.00,		+12.6
