[V],		[mA - 100mA max]
VDC,		IDC
0.00,		-0.000
-2.00,		-0.080
-4.00,		-0.215
-6.00,		-0.407
-8.00,		-0.658
-10.00,		-0.978
-12.00,		-1.373
-14.00,		-1.853
-16.00,		-2.422
-18.00,		-3.095
-20.00,		-3.865
-22.00,		-4.747
-24.00,		-5.736
-26.00,		-6.843
-28.00,		-8.074
-30.00,		-9.430
-32.00,		-10.916
-34.00,		-12.522
-36.00,		-14.26
-38.00,		-16.11
-40.00,		-18.07
-42.00,		-20.17
-44.00,		-22.40
-46.00,		-24.81
-48.00,		-27.41
-50.00,		-30.20
