FASE [°]
-13.3763662559110
-16.2685598152766
-19.4847560113157
-21.6272693545688
-23.9372641586405
-26.7968121344696
-28.3499361258354
-29.0586510909333
-29.7618149063270
-28.9840240636559
-27.1672519721444
-23.5412680107305
-16.2697918628537
-9.66161889080406
0
+9.93204464721966
+17.8644512461149
+23.9296913375138
+27.5797653416564
+29.5777772963678
+30.2796621312633
+29.5631575637598
+28.3062634427658
+26.7161834806918
+23.8880096252157
+21.4276998024561
+18.8364415935548
+15.7668077104908
+12.7074765193619
+9.44670643687615
+6.40233339491449
+2.41435855305957
