VIN[mV],	 VOUT[mV],	F [°], FREQUENZA [HZ]
974,	567,	7,	10E+3,	
975,	573,	0,	10.06E3,
973,	559,	10,	9.97E3,
973,	547,	15,	9.92E3,
971,	530,	20,	9.87E3,
969,	507,	25.5,	9.81E3,
967,	480,	30,	9.75E3,
964,	448,	35.5,	9.68E3,
962,	421,	40,	9.62E3,
960,	388,	44.4,	9.54E3,
958,	347,	50,	9.43E3,
956,	310,	55,	9.31E3,
953,	265,	60,	9.14E3,
951,	216.5,	65,	8.89E3,
950,	168.5,	70,	8.53E3,
949,	120,	75,	7.93E3,
948,	64.5,	80,	6.47E3,
948,	20,	82,	4E3,
948,	10,	77,	2E3,
949,	4,	67,	1E3,
949,	2.6,	51,	500,
948,	1.49,	13,	100,
975,	570,	-4.5,	10.1E3,
974,	564,	-10.5,	10.16E3,
973,	557,	-14.5,	10.20E3,
972,	535,	-20,	10.27E3,
970,	522,	-25,	10.32E3,
968,	501,	-30.5,	10.38E3,
966,	473,	-35.2,	10.45E3,
963,	443,	-40.4,	10.53E3,
960,	406,	-45.7,	10.63E3,
958,	379,	-49.7,	10.71E3,
956,	340,	-55.1,	10.85E3,
953,	299,	-60,	11.01E3,
951,	258,	-65,	11.22E3,
950,	212,	-70.3,	11.54E3,
948,	163,	-75,	12.07E3,
948,	113,	-80,	13.11E3,
947,	64,	-85.2,	15.94E3,
946,	26,	-88,	23E3,
945,	13,	-89,	39E3,
945,	8.8,	-89,	50E3,
