second,Volt,Volt
x-axis,1,2
+0.0E+00,+9.551155806E+00,+73.490955E-03
+1.563E-06,+9.499698520E+00,+71.739699E-03
+3.125E-06,+9.547939725E+00,+71.739699E-03
+4.688E-06,+9.551155806E+00,+73.387940E-03
+6.250E-06,+9.499698520E+00,+73.387940E-03
+7.813E-06,+9.499698520E+00,+73.387940E-03
+9.375E-06,+9.499698520E+00,+73.387940E-03
+10.938E-06,+9.499698520E+00,+73.387940E-03
+12.500E-06,+9.448241234E+00,+71.842714E-03
+14.063E-06,+9.448241234E+00,+73.387940E-03
+15.625E-06,+9.448241234E+00,+71.739699E-03
+17.188E-06,+9.396783948E+00,+73.387940E-03
+18.750E-06,+9.396783948E+00,+73.387940E-03
+20.313E-06,+9.445025153E+00,+73.387940E-03
+21.875E-06,+9.396783948E+00,+73.387940E-03
+23.438E-06,+9.396783948E+00,+73.387940E-03
+25.000E-06,+9.396783948E+00,+73.387940E-03
+26.563E-06,+9.345326662E+00,+73.387940E-03
+28.125E-06,+9.393567868E+00,+73.387940E-03
+29.688E-06,+9.345326662E+00,+73.387940E-03
+31.250E-06,+9.345326662E+00,+73.387940E-03
+32.813E-06,+9.293869376E+00,+73.387940E-03
+34.375E-06,+9.242412090E+00,+73.387940E-03
+35.938E-06,+9.290653296E+00,+73.387940E-03
+37.500E-06,+9.293869376E+00,+73.387940E-03
+39.063E-06,+9.242412090E+00,+73.387940E-03
+40.625E-06,+9.242412090E+00,+71.842714E-03
+42.188E-06,+9.190954804E+00,+73.387940E-03
+43.750E-06,+9.190954804E+00,+73.387940E-03
+45.313E-06,+9.190954804E+00,+71.842714E-03
+46.875E-06,+9.139497519E+00,+73.387940E-03
+48.438E-06,+9.139497519E+00,+71.842714E-03
+50.000E-06,+9.088040233E+00,+73.387940E-03
+51.563E-06,+9.088040233E+00,+73.387940E-03
+53.125E-06,+9.036582947E+00,+73.387940E-03
+54.688E-06,+9.036582947E+00,+71.842714E-03
+56.250E-06,+9.036582947E+00,+71.739699E-03
+57.813E-06,+8.985125661E+00,+73.387940E-03
+59.375E-06,+8.985125661E+00,+73.387940E-03
+60.938E-06,+8.933668375E+00,+73.387940E-03
+62.500E-06,+8.882211089E+00,+73.387940E-03
+64.063E-06,+8.930452295E+00,+73.387940E-03
+65.625E-06,+8.882211089E+00,+73.387940E-03
+67.188E-06,+8.830753803E+00,+73.387940E-03
+68.750E-06,+8.830753803E+00,+71.842714E-03
+70.313E-06,+8.779296517E+00,+71.739699E-03
+71.875E-06,+8.779296517E+00,+73.387940E-03
+73.438E-06,+8.727839231E+00,+73.387940E-03
+75.000E-06,+8.727839231E+00,+73.387940E-03
+76.563E-06,+8.727839231E+00,+73.387940E-03
+78.125E-06,+8.676381946E+00,+71.739699E-03
+79.688E-06,+8.624924660E+00,+73.387940E-03
+81.250E-06,+8.573467374E+00,+71.842714E-03
+82.813E-06,+8.573467374E+00,+73.387940E-03
+84.375E-06,+8.522010088E+00,+73.387940E-03
+85.938E-06,+8.522010088E+00,+73.387940E-03
+87.500E-06,+8.470552802E+00,+73.387940E-03
+89.063E-06,+8.470552802E+00,+71.739699E-03
+90.625E-06,+8.419095516E+00,+73.387940E-03
+92.188E-06,+8.367638230E+00,+73.387940E-03
+93.750E-06,+8.316180944E+00,+73.387940E-03
+95.313E-06,+8.264723659E+00,+73.387940E-03
+96.875E-06,+8.264723659E+00,+73.387940E-03
+98.438E-06,+8.264723659E+00,+73.387940E-03
+100.000E-06,+8.213266373E+00,+73.387940E-03
+101.563E-06,+8.161809087E+00,+73.387940E-03
+103.125E-06,+8.158593006E+00,+71.739699E-03
+104.688E-06,+8.107135721E+00,+71.739699E-03
+106.250E-06,+8.058894515E+00,+71.739699E-03
+107.813E-06,+8.058894515E+00,+73.387940E-03
+109.375E-06,+8.004221149E+00,+73.387940E-03
+110.938E-06,+7.952763863E+00,+71.842714E-03
+112.500E-06,+7.904522657E+00,+73.387940E-03
+114.063E-06,+7.901306577E+00,+73.387940E-03
+115.625E-06,+7.849849291E+00,+71.739699E-03
+117.188E-06,+7.801608086E+00,+71.842714E-03
+118.750E-06,+7.801608086E+00,+73.387940E-03
+120.313E-06,+7.798392005E+00,+73.387940E-03
+121.875E-06,+7.695477434E+00,+73.387940E-03
+123.438E-06,+7.647236228E+00,+71.739699E-03
+125.000E-06,+7.644020148E+00,+71.739699E-03
+126.563E-06,+7.592562862E+00,+71.842714E-03
+128.125E-06,+7.541105576E+00,+73.387940E-03
+129.688E-06,+7.489648290E+00,+71.739699E-03
+131.250E-06,+7.441407084E+00,+71.739699E-03
+132.813E-06,+7.441407084E+00,+71.739699E-03
+134.375E-06,+7.389949799E+00,+71.739699E-03
+135.938E-06,+7.338492513E+00,+71.739699E-03
+137.500E-06,+7.287035227E+00,+71.739699E-03
+139.063E-06,+7.235577941E+00,+73.387940E-03
+140.625E-06,+7.235577941E+00,+71.842714E-03
+142.188E-06,+7.184120655E+00,+71.739699E-03
+143.750E-06,+7.132663369E+00,+71.739699E-03
+145.313E-06,+7.081206083E+00,+71.739699E-03
+146.875E-06,+7.029748797E+00,+71.739699E-03
+148.438E-06,+7.029748797E+00,+71.739699E-03
+150.000E-06,+6.926834226E+00,+71.739699E-03
+151.563E-06,+6.975075431E+00,+71.739699E-03
+153.125E-06,+6.875376940E+00,+71.739699E-03
+154.688E-06,+6.875376940E+00,+71.739699E-03
+156.250E-06,+6.823919654E+00,+71.739699E-03
+157.813E-06,+6.772462368E+00,+71.739699E-03
+159.375E-06,+6.721005082E+00,+71.739699E-03
+160.938E-06,+6.669547796E+00,+71.739699E-03
+162.500E-06,+6.618090510E+00,+71.739699E-03
+164.063E-06,+6.566633224E+00,+71.739699E-03
+165.625E-06,+6.515175939E+00,+71.739699E-03
+167.188E-06,+6.463718653E+00,+71.739699E-03
+168.750E-06,+6.463718653E+00,+71.739699E-03
+170.313E-06,+6.360804081E+00,+71.739699E-03
+171.875E-06,+6.309346795E+00,+71.739699E-03
+173.438E-06,+6.257889509E+00,+71.739699E-03
+175.000E-06,+6.257889509E+00,+73.387940E-03
+176.563E-06,+6.154974937E+00,+71.842714E-03
+178.125E-06,+6.154974937E+00,+71.739699E-03
+179.688E-06,+6.103517652E+00,+73.387940E-03
+181.250E-06,+6.000603080E+00,+71.842714E-03
+182.813E-06,+6.000603080E+00,+70.194473E-03
+184.375E-06,+6.000603080E+00,+71.739699E-03
+185.938E-06,+5.897688508E+00,+71.739699E-03
+187.500E-06,+5.846231222E+00,+71.739699E-03
+189.063E-06,+5.846231222E+00,+71.739699E-03
+190.625E-06,+5.743316650E+00,+71.739699E-03
+192.188E-06,+5.743316650E+00,+71.739699E-03
+193.750E-06,+5.640402079E+00,+71.739699E-03
+195.313E-06,+5.640402079E+00,+71.739699E-03
+196.875E-06,+5.588944793E+00,+71.739699E-03
+198.438E-06,+5.537487507E+00,+71.739699E-03
+200.000E-06,+5.434572935E+00,+71.739699E-03
+201.563E-06,+5.434572935E+00,+71.739699E-03
+203.125E-06,+5.383115649E+00,+71.739699E-03
+204.688E-06,+5.331658363E+00,+71.739699E-03
+206.250E-06,+5.280201077E+00,+71.739699E-03
+207.813E-06,+5.280201077E+00,+71.739699E-03
+209.375E-06,+5.125829220E+00,+71.739699E-03
+210.938E-06,+5.174070425E+00,+71.739699E-03
+212.500E-06,+5.074371934E+00,+71.739699E-03
+214.063E-06,+5.074371934E+00,+70.194473E-03
+215.625E-06,+4.971457362E+00,+71.739699E-03
+217.188E-06,+4.920000076E+00,+71.739699E-03
+218.750E-06,+4.871758871E+00,+71.739699E-03
+220.313E-06,+4.868542790E+00,+71.739699E-03
+221.875E-06,+4.820301585E+00,+70.194473E-03
+223.438E-06,+4.768844299E+00,+71.739699E-03
+225.000E-06,+4.665929727E+00,+71.739699E-03
+226.563E-06,+4.614472441E+00,+70.194473E-03
+228.125E-06,+4.611256361E+00,+70.091458E-03
+229.687E-06,+4.511557870E+00,+70.091458E-03
+231.250E-06,+4.508341789E+00,+71.739699E-03
+232.812E-06,+4.460100584E+00,+70.194473E-03
+234.375E-06,+4.408643298E+00,+71.739699E-03
+235.937E-06,+4.357186012E+00,+71.739699E-03
+237.500E-06,+4.254271440E+00,+71.739699E-03
+239.062E-06,+4.202814154E+00,+70.194473E-03
+240.625E-06,+4.251055360E+00,+71.739699E-03
+242.187E-06,+4.151356868E+00,+71.739699E-03
+243.750E-06,+4.099899583E+00,+71.739699E-03
+245.312E-06,+4.048442297E+00,+70.194473E-03
+246.875E-06,+3.996985011E+00,+70.091458E-03
+248.437E-06,+3.945527725E+00,+71.739699E-03
+250.000E-06,+3.894070439E+00,+70.194473E-03
+251.562E-06,+3.842613153E+00,+70.091458E-03
+253.125E-06,+3.791155867E+00,+71.739699E-03
+254.687E-06,+3.739698581E+00,+70.194473E-03
+256.250E-06,+3.688241296E+00,+71.739699E-03
+257.812E-06,+3.685025215E+00,+70.194473E-03
+259.375E-06,+3.585326724E+00,+70.091458E-03
+260.937E-06,+3.582110643E+00,+70.091458E-03
+262.500E-06,+3.482412152E+00,+70.091458E-03
+264.062E-06,+3.479196072E+00,+70.091458E-03
+265.625E-06,+3.430954866E+00,+70.091458E-03
+267.187E-06,+3.328040294E+00,+70.091458E-03
+268.750E-06,+3.324824214E+00,+70.091458E-03
+270.312E-06,+3.225125723E+00,+70.091458E-03
+271.875E-06,+3.173668437E+00,+70.091458E-03
+273.437E-06,+3.170452356E+00,+70.091458E-03
+275.000E-06,+3.170452356E+00,+70.091458E-03
+276.562E-06,+3.070753865E+00,+71.739699E-03
+278.125E-06,+3.019296579E+00,+70.194473E-03
+279.687E-06,+3.016080499E+00,+70.091458E-03
+281.250E-06,+2.916382007E+00,+70.091458E-03
+282.812E-06,+2.864924721E+00,+70.091458E-03
+284.375E-06,+2.813467436E+00,+70.091458E-03
+285.937E-06,+2.810251355E+00,+70.091458E-03
+287.500E-06,+2.762010150E+00,+70.091458E-03
+289.062E-06,+2.710552864E+00,+70.091458E-03
+290.625E-06,+2.659095578E+00,+70.091458E-03
+292.187E-06,+2.607638292E+00,+70.091458E-03
+293.750E-06,+2.556181006E+00,+70.091458E-03
+295.312E-06,+2.552964926E+00,+70.091458E-03
+296.875E-06,+2.504723720E+00,+70.091458E-03
+298.437E-06,+2.453266434E+00,+70.091458E-03
+300.000E-06,+2.350351863E+00,+70.091458E-03
+301.562E-06,+2.347135782E+00,+70.091458E-03
+303.125E-06,+2.298894577E+00,+70.091458E-03
+304.687E-06,+2.247437291E+00,+70.091458E-03
+306.250E-06,+2.195980005E+00,+70.091458E-03
+307.812E-06,+2.144522719E+00,+70.091458E-03
+309.375E-06,+2.141306639E+00,+70.091458E-03
+310.937E-06,+2.093065433E+00,+71.739699E-03
+312.500E-06,+2.041608147E+00,+70.194473E-03
+314.062E-06,+1.990150861E+00,+70.091458E-03
+315.625E-06,+1.938693576E+00,+70.091458E-03
+317.187E-06,+1.887236290E+00,+70.091458E-03
+318.750E-06,+1.835779004E+00,+70.091458E-03
+320.312E-06,+1.832562923E+00,+70.091458E-03
+321.875E-06,+1.784321718E+00,+70.091458E-03
+323.437E-06,+1.781105638E+00,+70.091458E-03
+325.000E-06,+1.732864432E+00,+68.546232E-03
+326.562E-06,+1.681407146E+00,+70.091458E-03
+328.125E-06,+1.629949860E+00,+70.091458E-03
+329.687E-06,+1.578492574E+00,+68.546232E-03
+331.250E-06,+1.527035289E+00,+70.091458E-03
+332.812E-06,+1.475578003E+00,+70.091458E-03
+334.375E-06,+1.472361922E+00,+70.091458E-03
+335.937E-06,+1.424120717E+00,+70.091458E-03
+337.500E-06,+1.372663431E+00,+70.091458E-03
+339.062E-06,+1.321206145E+00,+70.091458E-03
+340.625E-06,+1.269748859E+00,+68.546232E-03
+342.187E-06,+1.266532779E+00,+68.443217E-03
+343.750E-06,+1.166834287E+00,+70.091458E-03
+345.312E-06,+1.215075493E+00,+70.091458E-03
+346.875E-06,+1.166834287E+00,+70.091458E-03
+348.437E-06,+1.115377001E+00,+68.546232E-03
+350.000E-06,+1.112160921E+00,+70.091458E-03
+351.562E-06,+1.063919716E+00,+70.091458E-03
+353.125E-06,+1.012462430E+00,+68.546232E-03
+354.687E-06,+1.009246349E+00,+68.443217E-03
+356.250E-06,+961.005144E-03,+68.443217E-03
+357.812E-06,+909.547858E-03,+68.443217E-03
+359.375E-06,+858.090572E-03,+68.443217E-03
+360.937E-06,+806.633286E-03,+68.443217E-03
+362.500E-06,+755.176000E-03,+70.091458E-03
+364.062E-06,+751.959920E-03,+70.091458E-03
+365.625E-06,+751.959920E-03,+68.546232E-03
+367.187E-06,+703.718714E-03,+68.443217E-03
+368.750E-06,+700.502634E-03,+68.443217E-03
+370.312E-06,+652.261429E-03,+68.443217E-03
+371.875E-06,+649.045348E-03,+68.443217E-03
+373.437E-06,+600.804143E-03,+68.443217E-03
+375.000E-06,+549.346857E-03,+70.091458E-03
+376.562E-06,+546.130776E-03,+68.546232E-03
+378.125E-06,+497.889571E-03,+68.443217E-03
+379.687E-06,+494.673491E-03,+68.443217E-03
+381.250E-06,+446.432285E-03,+68.443217E-03
+382.812E-06,+443.216205E-03,+66.897991E-03
