second,Volt,Volt
x-axis,1,2
+0.0E+00,+8.546256357E+00,+246.453265E-03
+1.563E-06,+8.644427210E+00,+244.805024E-03
+3.125E-06,+8.644427210E+00,+246.350250E-03
+4.688E-06,+8.644427210E+00,+244.805024E-03
+6.250E-06,+8.596829221E+00,+246.350250E-03
+7.813E-06,+8.641452336E+00,+244.805024E-03
+9.375E-06,+8.596829221E+00,+246.453265E-03
+10.938E-06,+8.596829221E+00,+244.805024E-03
+12.500E-06,+8.641452336E+00,+244.805024E-03
+14.063E-06,+8.596829221E+00,+244.805024E-03
+15.625E-06,+8.644427210E+00,+244.805024E-03
+17.188E-06,+8.644427210E+00,+244.805024E-03
+18.750E-06,+8.644427210E+00,+246.350250E-03
+20.313E-06,+8.644427210E+00,+246.453265E-03
+21.875E-06,+8.644427210E+00,+244.805024E-03
+23.438E-06,+8.596829221E+00,+246.453265E-03
+25.000E-06,+8.596829221E+00,+246.453265E-03
+26.563E-06,+8.596829221E+00,+244.805024E-03
+28.125E-06,+8.596829221E+00,+246.350250E-03
+29.688E-06,+8.596829221E+00,+246.453265E-03
+31.250E-06,+8.644427210E+00,+246.453265E-03
+32.813E-06,+8.596829221E+00,+244.805024E-03
+34.375E-06,+8.549231231E+00,+246.453265E-03
+35.938E-06,+8.549231231E+00,+244.805024E-03
+37.500E-06,+8.549231231E+00,+246.350250E-03
+39.063E-06,+8.549231231E+00,+246.453265E-03
+40.625E-06,+8.549231231E+00,+246.453265E-03
+42.188E-06,+8.549231231E+00,+246.453265E-03
+43.750E-06,+8.549231231E+00,+244.805024E-03
+45.313E-06,+8.501633242E+00,+244.805024E-03
+46.875E-06,+8.501633242E+00,+246.350250E-03
+48.438E-06,+8.501633242E+00,+246.453265E-03
+50.000E-06,+8.501633242E+00,+244.805024E-03
+51.563E-06,+8.454035252E+00,+246.350250E-03
+53.125E-06,+8.454035252E+00,+244.805024E-03
+54.688E-06,+8.454035252E+00,+244.805024E-03
+56.250E-06,+8.406437263E+00,+244.805024E-03
+57.813E-06,+8.451060378E+00,+246.350250E-03
+59.375E-06,+8.406437263E+00,+244.805024E-03
+60.938E-06,+8.406437263E+00,+246.350250E-03
+62.500E-06,+8.358839273E+00,+246.453265E-03
+64.063E-06,+8.403462389E+00,+244.805024E-03
+65.625E-06,+8.358839273E+00,+244.805024E-03
+67.188E-06,+8.358839273E+00,+244.805024E-03
+68.750E-06,+8.311241284E+00,+244.805024E-03
+70.313E-06,+8.311241284E+00,+244.805024E-03
+71.875E-06,+8.311241284E+00,+244.805024E-03
+73.438E-06,+8.311241284E+00,+244.805024E-03
+75.000E-06,+8.263643295E+00,+246.350250E-03
+76.563E-06,+8.263643295E+00,+246.453265E-03
+78.125E-06,+8.216045305E+00,+244.805024E-03
+79.688E-06,+8.216045305E+00,+246.453265E-03
+81.250E-06,+8.168447316E+00,+244.805024E-03
+82.813E-06,+8.168447316E+00,+244.805024E-03
+84.375E-06,+8.168447316E+00,+244.805024E-03
+85.938E-06,+8.120849326E+00,+244.805024E-03
+87.500E-06,+8.073251337E+00,+244.805024E-03
+89.063E-06,+8.073251337E+00,+244.805024E-03
+90.625E-06,+8.073251337E+00,+244.805024E-03
+92.188E-06,+8.025653347E+00,+244.805024E-03
+93.750E-06,+8.025653347E+00,+244.805024E-03
+95.313E-06,+7.978055358E+00,+244.805024E-03
+96.875E-06,+7.978055358E+00,+244.805024E-03
+98.438E-06,+7.930457368E+00,+246.453265E-03
+100.000E-06,+7.930457368E+00,+244.805024E-03
+101.563E-06,+7.835261390E+00,+244.702009E-03
+103.125E-06,+7.879884505E+00,+243.156783E-03
+104.688E-06,+7.787663400E+00,+244.805024E-03
+106.250E-06,+7.787663400E+00,+244.805024E-03
+107.813E-06,+7.787663400E+00,+244.805024E-03
+109.375E-06,+7.737090536E+00,+244.805024E-03
+110.938E-06,+7.689492547E+00,+246.453265E-03
+112.500E-06,+7.644869432E+00,+246.350250E-03
+114.063E-06,+7.689492547E+00,+244.805024E-03
+115.625E-06,+7.641894558E+00,+244.805024E-03
+117.188E-06,+7.594296568E+00,+244.805024E-03
+118.750E-06,+7.549673453E+00,+244.805024E-03
+120.313E-06,+7.546698579E+00,+244.805024E-03
+121.875E-06,+7.502075464E+00,+244.805024E-03
+123.438E-06,+7.499100589E+00,+244.702009E-03
+125.000E-06,+7.454477474E+00,+243.156783E-03
+126.563E-06,+7.451502600E+00,+244.702009E-03
+128.125E-06,+7.403904610E+00,+243.156783E-03
+129.688E-06,+7.311683506E+00,+244.805024E-03
+131.250E-06,+7.311683506E+00,+244.702009E-03
+132.813E-06,+7.311683506E+00,+243.156783E-03
+134.375E-06,+7.216487527E+00,+244.805024E-03
+135.938E-06,+7.216487527E+00,+244.805024E-03
+137.500E-06,+7.216487527E+00,+243.156783E-03
+139.063E-06,+7.168889537E+00,+244.805024E-03
+140.625E-06,+7.121291548E+00,+243.156783E-03
+142.188E-06,+7.073693559E+00,+243.156783E-03
