second,Volt,Volt
x-axis,1,2
+182.813E-06,+8.046095666E+00,+2.513569E-03
+184.375E-06,+8.049392149E+00,+2.513569E-03
+185.938E-06,+8.151583103E+00,+2.513569E-03
+187.500E-06,+8.102135867E+00,+2.513569E-03
+189.063E-06,+8.151583103E+00,+2.513569E-03
+190.625E-06,+8.204326821E+00,+2.513569E-03
+192.188E-06,+8.257070539E+00,+2.513569E-03
+193.750E-06,+8.309814257E+00,+2.513569E-03
+195.313E-06,+8.313110739E+00,+2.513569E-03
+196.875E-06,+8.362557975E+00,+2.513569E-03
+198.438E-06,+8.415301693E+00,+2.513569E-03
+200.000E-06,+8.418598175E+00,+2.513569E-03
+201.563E-06,+8.468045411E+00,+2.513569E-03
+203.125E-06,+8.520789129E+00,+2.513569E-03
+204.688E-06,+8.573532847E+00,+2.513569E-03
+206.250E-06,+8.576829329E+00,+2.513569E-03
+207.813E-06,+8.626276565E+00,+2.513569E-03
+209.375E-06,+8.629573047E+00,+2.513569E-03
+210.938E-06,+8.679020283E+00,+2.513569E-03
+212.500E-06,+8.731764001E+00,+2.513569E-03
+214.063E-06,+8.735060483E+00,+2.513569E-03
+215.625E-06,+8.784507719E+00,+2.513569E-03
+217.188E-06,+8.837251437E+00,+2.513569E-03
+218.750E-06,+8.840547919E+00,+2.513569E-03
+220.313E-06,+8.840547919E+00,+2.513569E-03
+221.875E-06,+8.889995155E+00,+2.513569E-03
+223.438E-06,+8.942738873E+00,+2.513569E-03
+225.000E-06,+8.995482591E+00,+2.513569E-03
+226.563E-06,+8.998779073E+00,+2.513569E-03
+228.125E-06,+9.048226309E+00,+2.513569E-03
+229.687E-06,+9.100970027E+00,+2.513569E-03
+231.250E-06,+9.104266509E+00,+2.513569E-03
+232.812E-06,+9.104266509E+00,+2.513569E-03
+234.375E-06,+9.153713745E+00,+2.513569E-03
+235.937E-06,+9.157010227E+00,+2.513569E-03
+237.500E-06,+9.206457463E+00,+2.513569E-03
+239.062E-06,+9.259201181E+00,+2.513569E-03
+240.625E-06,+9.262497663E+00,+2.513569E-03
+242.187E-06,+9.311944899E+00,+2.513569E-03
+243.750E-06,+9.315241382E+00,+2.513569E-03
+245.312E-06,+9.315241382E+00,+2.513569E-03
+246.875E-06,+9.364688617E+00,+2.513569E-03
+248.437E-06,+9.367985100E+00,+968.343E-06
+250.000E-06,+9.417432335E+00,+2.513569E-03
+251.562E-06,+9.420728818E+00,+2.513569E-03
+253.125E-06,+9.420728818E+00,+2.513569E-03
+254.687E-06,+9.470176053E+00,+2.513569E-03
+256.250E-06,+9.473472536E+00,+2.513569E-03
+257.812E-06,+9.522919771E+00,+2.513569E-03
+259.375E-06,+9.526216254E+00,+2.513569E-03
+260.937E-06,+9.575663489E+00,+2.513569E-03
+262.500E-06,+9.578959972E+00,+2.513569E-03
+264.062E-06,+9.578959972E+00,+2.513569E-03
+265.625E-06,+9.578959972E+00,+2.513569E-03
+267.187E-06,+9.578959972E+00,+2.513569E-03
+268.750E-06,+9.628407207E+00,+2.513569E-03
+270.312E-06,+9.631703690E+00,+2.513569E-03
+271.875E-06,+9.681150925E+00,+2.513569E-03
+273.437E-06,+9.684447408E+00,+2.513569E-03
+275.000E-06,+9.684447408E+00,+2.513569E-03
+276.562E-06,+9.733894643E+00,+2.513569E-03
+278.125E-06,+9.737191126E+00,+2.513569E-03
+279.687E-06,+9.737191126E+00,+2.513569E-03
+281.250E-06,+9.737191126E+00,+2.513569E-03
+282.812E-06,+9.786638361E+00,+2.513569E-03
+284.375E-06,+9.789934844E+00,+2.513569E-03
+285.937E-06,+9.789934844E+00,+2.513569E-03
+287.500E-06,+9.789934844E+00,+2.513569E-03
+289.062E-06,+9.839382079E+00,+2.513569E-03
+290.625E-06,+9.842678562E+00,+2.513569E-03
+292.187E-06,+9.842678562E+00,+2.513569E-03
+293.750E-06,+9.842678562E+00,+2.513569E-03
+295.312E-06,+9.892125797E+00,+2.513569E-03
+296.875E-06,+9.895422280E+00,+2.513569E-03
+298.437E-06,+9.895422280E+00,+2.513569E-03
+300.000E-06,+9.895422280E+00,+2.513569E-03
+301.562E-06,+9.895422280E+00,+2.513569E-03
+303.125E-06,+9.944869515E+00,+2.513569E-03
+304.687E-06,+9.895422280E+00,+2.513569E-03
+306.250E-06,+9.944869515E+00,+2.513569E-03
+307.812E-06,+9.895422280E+00,+2.513569E-03
+309.375E-06,+9.944869515E+00,+2.513569E-03
+310.937E-06,+9.948165998E+00,+2.513569E-03
+312.500E-06,+9.948165998E+00,+2.513569E-03
+314.062E-06,+9.948165998E+00,+2.513569E-03
+315.625E-06,+9.948165998E+00,+2.513569E-03
+317.187E-06,+9.948165998E+00,+2.513569E-03
+318.750E-06,+9.997613234E+00,+2.513569E-03
+320.312E-06,+9.948165998E+00,+2.513569E-03
+321.875E-06,+9.948165998E+00,+2.513569E-03
