second,Volt,Volt
x-axis,1,2
+0.0E+00,+3.944095418E+00,+103.056282E-03
+1.563E-06,+3.944095418E+00,+103.056282E-03
+3.125E-06,+4.044437125E+00,+103.056282E-03
+4.688E-06,+4.044437125E+00,+104.704523E-03
+6.250E-06,+4.094607979E+00,+103.159297E-03
+7.813E-06,+4.194949687E+00,+103.056282E-03
+9.375E-06,+4.194949687E+00,+103.056282E-03
+10.938E-06,+4.295291394E+00,+104.704523E-03
+12.500E-06,+4.295291394E+00,+103.159297E-03
+14.063E-06,+4.395633101E+00,+104.704523E-03
+15.625E-06,+4.395633101E+00,+104.704523E-03
+17.188E-06,+4.495974809E+00,+103.159297E-03
+18.750E-06,+4.495974809E+00,+103.056282E-03
+20.313E-06,+4.546145663E+00,+104.704523E-03
+21.875E-06,+4.646487370E+00,+104.704523E-03
+23.438E-06,+4.646487370E+00,+103.056282E-03
+25.000E-06,+4.696658224E+00,+104.704523E-03
+26.563E-06,+4.796999931E+00,+104.704523E-03
+28.125E-06,+4.796999931E+00,+104.704523E-03
+29.688E-06,+4.894205960E+00,+103.159297E-03
+31.250E-06,+4.897341639E+00,+104.704523E-03
+32.813E-06,+4.947512493E+00,+104.704523E-03
+34.375E-06,+5.047854200E+00,+104.704523E-03
+35.938E-06,+5.047854200E+00,+104.704523E-03
+37.500E-06,+5.094889375E+00,+104.704523E-03
+39.063E-06,+5.145060229E+00,+104.704523E-03
+40.625E-06,+5.195231083E+00,+104.704523E-03
+42.188E-06,+5.248537615E+00,+104.704523E-03
+43.750E-06,+5.298708469E+00,+104.704523E-03
+45.313E-06,+5.345743644E+00,+104.704523E-03
+46.875E-06,+5.395914498E+00,+104.704523E-03
+48.438E-06,+5.446085352E+00,+104.704523E-03
+50.000E-06,+5.496256205E+00,+104.704523E-03
+51.563E-06,+5.546427059E+00,+104.704523E-03
+53.125E-06,+5.596597913E+00,+104.704523E-03
+54.688E-06,+5.646768766E+00,+104.704523E-03
+56.250E-06,+5.696939620E+00,+104.704523E-03
+57.813E-06,+5.747110474E+00,+103.159297E-03
+59.375E-06,+5.750246152E+00,+104.704523E-03
