second,Volt,Volt
x-axis,1,2
+0.0E+00,+3.744809172E+00,+167.337688E-03
+1.563E-06,+3.646638319E+00,+167.337688E-03
+3.125E-06,+3.602015204E+00,+167.337688E-03
+4.688E-06,+3.551442340E+00,+167.337688E-03
+6.250E-06,+3.551442340E+00,+167.337688E-03
+7.813E-06,+3.506819225E+00,+167.337688E-03
+9.375E-06,+3.408648372E+00,+167.337688E-03
+10.938E-06,+3.364025257E+00,+165.689447E-03
+12.500E-06,+3.316427267E+00,+167.234673E-03
+14.063E-06,+3.265854403E+00,+167.337688E-03
+15.625E-06,+3.265854403E+00,+165.689447E-03
+17.188E-06,+3.173633299E+00,+167.234673E-03
+18.750E-06,+3.126035309E+00,+167.337688E-03
+20.313E-06,+3.123060435E+00,+167.337688E-03
+21.875E-06,+2.980266467E+00,+167.337688E-03
+23.438E-06,+2.980266467E+00,+167.337688E-03
+25.000E-06,+2.932668477E+00,+167.337688E-03
+26.563E-06,+2.888045362E+00,+165.689447E-03
+28.125E-06,+2.840447373E+00,+167.234673E-03
+29.688E-06,+2.745251394E+00,+165.689447E-03
+31.250E-06,+2.742276520E+00,+167.337688E-03
+32.813E-06,+2.742276520E+00,+165.689447E-03
+34.375E-06,+2.647080541E+00,+165.689447E-03
+35.938E-06,+2.602457426E+00,+165.689447E-03
+37.500E-06,+2.554859436E+00,+165.689447E-03
+39.063E-06,+2.507261447E+00,+165.689447E-03
+40.625E-06,+2.459663457E+00,+165.689447E-03
+42.188E-06,+2.409090593E+00,+165.689447E-03
+43.750E-06,+2.361492604E+00,+165.689447E-03
+45.313E-06,+2.361492604E+00,+165.689447E-03
+46.875E-06,+2.269271499E+00,+164.041206E-03
+48.438E-06,+2.221673510E+00,+165.586432E-03
+50.000E-06,+2.174075521E+00,+165.689447E-03
+51.563E-06,+2.126477531E+00,+167.234673E-03
+53.125E-06,+2.078879542E+00,+165.689447E-03
+54.688E-06,+2.075904667E+00,+165.689447E-03
+56.250E-06,+1.983683563E+00,+165.689447E-03
+57.813E-06,+1.980708688E+00,+165.689447E-03
+59.375E-06,+1.936085573E+00,+164.041206E-03
+60.938E-06,+1.840889595E+00,+165.586432E-03
+62.500E-06,+1.793291605E+00,+164.041206E-03
+64.063E-06,+1.790316731E+00,+165.586432E-03
+65.625E-06,+1.790316731E+00,+164.041206E-03
+67.188E-06,+1.698095626E+00,+165.586432E-03
+68.750E-06,+1.650497637E+00,+164.041206E-03
+70.313E-06,+1.602899647E+00,+162.392965E-03
+71.875E-06,+1.555301658E+00,+163.938191E-03
+73.438E-06,+1.507703668E+00,+164.041206E-03
+75.000E-06,+1.460105679E+00,+164.041206E-03
+76.563E-06,+1.457130805E+00,+164.041206E-03
+78.125E-06,+1.409532815E+00,+164.041206E-03
+79.688E-06,+1.361934826E+00,+164.041206E-03
+81.250E-06,+1.361934826E+00,+164.041206E-03
+82.813E-06,+1.269713721E+00,+162.392965E-03
+84.375E-06,+1.266738847E+00,+164.041206E-03
+85.938E-06,+1.171542868E+00,+164.041206E-03
+87.500E-06,+1.171542868E+00,+162.392965E-03
+89.063E-06,+1.123944879E+00,+162.392965E-03
+90.625E-06,+1.123944879E+00,+162.392965E-03
+92.188E-06,+1.028748900E+00,+162.392965E-03
+93.750E-06,+981.150910E-03,+162.392965E-03
+95.313E-06,+933.552921E-03,+162.392965E-03
+96.875E-06,+933.552921E-03,+162.392965E-03
+98.438E-06,+933.552921E-03,+160.744723E-03
+100.000E-06,+885.954931E-03,+160.744723E-03
+101.563E-06,+838.356942E-03,+160.641708E-03
+103.125E-06,+790.758952E-03,+159.096482E-03
+104.688E-06,+743.160963E-03,+158.993467E-03
+106.250E-06,+743.160963E-03,+157.448241E-03
+107.813E-06,+695.562974E-03,+155.800000E-03
+109.375E-06,+647.964984E-03,+154.151759E-03
+110.938E-06,+647.964984E-03,+152.503517E-03
+112.500E-06,+647.964984E-03,+150.855276E-03
+114.063E-06,+600.366995E-03,+149.207035E-03
+115.625E-06,+552.769005E-03,+147.558794E-03
+117.188E-06,+552.769005E-03,+145.910553E-03
+118.750E-06,+505.171016E-03,+144.262312E-03
