second,Volt,Volt
x,1,2
-222.5000E-03,-6.9447235E+00,-5.6281406E+00
-222.2500E-03,-6.9949748E+00,-5.6281406E+00
-222.0000E-03,-6.9648240E+00,-5.6281406E+00
-221.7500E-03,-6.9145728E+00,-5.6281406E+00
-221.5000E-03,-6.9095477E+00,-5.6231155E+00
-221.2500E-03,-6.8341708E+00,-5.6281406E+00
-221.0000E-03,-6.8341708E+00,-5.5628140E+00
-220.7500E-03,-6.7537688E+00,-5.5527638E+00
-220.5000E-03,-6.7889447E+00,-5.5025125E+00
-220.2500E-03,-6.6834170E+00,-5.4673366E+00
-220.0000E-03,-6.6733668E+00,-5.3869346E+00
-219.7500E-03,-6.6733668E+00,-5.3467336E+00
-219.5000E-03,-6.5929648E+00,-5.2964824E+00
-219.2500E-03,-6.5929648E+00,-5.2261306E+00
-219.0000E-03,-6.5376884E+00,-5.1457286E+00
-218.7500E-03,-6.5075376E+00,-5.0653266E+00
-218.5000E-03,-6.4321607E+00,-4.9849246E+00
-218.2500E-03,-6.4070351E+00,-4.9246231E+00
-218.0000E-03,-6.3417085E+00,-4.8291457E+00
-217.7500E-03,-6.2713567E+00,-4.7788944E+00
-217.5000E-03,-6.1909547E+00,-4.7437185E+00
-217.2500E-03,-6.1909547E+00,-4.5829145E+00
-217.0000E-03,-6.1457286E+00,-4.5829145E+00
-216.7500E-03,-6.1005024E+00,-4.5025125E+00
-216.5000E-03,-6.0301507E+00,-4.4221105E+00
-216.2500E-03,-5.9497487E+00,-4.3417085E+00
-216.0000E-03,-5.8693467E+00,-4.2613065E+00
-215.7500E-03,-5.7889447E+00,-4.1809045E+00
-215.5000E-03,-5.7587939E+00,-4.1005025E+00
-215.2500E-03,-5.7085427E+00,-4.0201005E+00
-215.0000E-03,-5.6281406E+00,-3.9396985E+00
-214.7500E-03,-5.5477386E+00,-3.8592964E+00
-214.5000E-03,-5.4673366E+00,-3.7035175E+00
-214.2500E-03,-5.3869346E+00,-3.6180904E+00
-214.0000E-03,-5.3165829E+00,-3.6030150E+00
-213.7500E-03,-5.3065326E+00,-3.5175879E+00
-213.5000E-03,-5.2261306E+00,-3.4170854E+00
-213.2500E-03,-5.0703517E+00,-3.2964824E+00
-213.0000E-03,-4.9849246E+00,-3.2160804E+00
-212.7500E-03,-4.9849246E+00,-3.0804020E+00
-212.5000E-03,-4.9045226E+00,-2.9748743E+00
-212.2500E-03,-4.8241206E+00,-2.8944723E+00
-212.0000E-03,-4.7437185E+00,-2.8140703E+00
-211.7500E-03,-4.5829145E+00,-2.7336683E+00
-211.5000E-03,-4.5376884E+00,-2.6080402E+00
-211.2500E-03,-4.4221105E+00,-2.4924623E+00
-211.0000E-03,-4.4221105E+00,-2.4221105E+00
-210.7500E-03,-4.2613065E+00,-2.3316583E+00
-210.5000E-03,-4.1809045E+00,-2.2512563E+00
-210.2500E-03,-4.1005025E+00,-2.1708542E+00
-210.0000E-03,-4.0201005E+00,-2.0100502E+00
-209.7500E-03,-3.9346733E+00,-1.9296482E+00
-209.5000E-03,-3.7788944E+00,-1.8492462E+00
-209.2500E-03,-3.7487437E+00,-1.7135678E+00
-209.0000E-03,-3.6180904E+00,-1.6080402E+00
-208.7500E-03,-3.5376884E+00,-1.5276382E+00
-208.5000E-03,-3.4572864E+00,-1.4271357E+00
-208.2500E-03,-3.3668341E+00,-1.2864321E+00
-208.0000E-03,-3.2512562E+00,-1.2060301E+00
-207.7500E-03,-3.1356784E+00,-1.1256281E+00
-207.5000E-03,-3.0552763E+00,-964.8241E-03
-207.2500E-03,-2.9748743E+00,-884.4221E-03
-207.0000E-03,-2.8844221E+00,-728.6432E-03
-206.7500E-03,-2.7336683E+00,-723.6181E-03
-206.5000E-03,-2.5979899E+00,-562.8141E-03
-206.2500E-03,-2.4924623E+00,-482.4121E-03
-206.0000E-03,-2.4120603E+00,-321.6080E-03
-205.7500E-03,-2.3316583E+00,-241.2060E-03
-205.5000E-03,-2.1708542E+00,-160.8040E-03
-205.2500E-03,-2.0904522E+00,-35.1759E-03
-205.0000E-03,-2.0100502E+00,+80.4020E-03
-204.7500E-03,-1.8592965E+00,+226.1307E-03
-204.5000E-03,-1.7688442E+00,+241.2060E-03
-204.2500E-03,-1.6884422E+00,+326.6332E-03
-204.0000E-03,-1.5276382E+00,+482.4121E-03
-203.7500E-03,-1.4472362E+00,+608.0402E-03
-203.5000E-03,-1.3668342E+00,+643.2161E-03
-203.2500E-03,-1.2562814E+00,+804.0201E-03
-203.0000E-03,-1.1256281E+00,+909.5477E-03
-202.7500E-03,-964.8241E-03,+969.8492E-03
-202.5000E-03,-884.4221E-03,+1.0904522E+00
-202.2500E-03,-804.0201E-03,+1.2060301E+00
-202.0000E-03,-723.6181E-03,+1.2211055E+00
