second,Volt,Volt
x,1,2
-22.07500E-03,-92.25824E-03,-180.19783E-03
-22.05000E-03,-93.04342E-03,-179.41265E-03
-22.02500E-03,-93.04342E-03,-179.41265E-03
-22.00000E-03,-92.25824E-03,-179.41265E-03
-21.97500E-03,-93.04342E-03,-179.41265E-03
-21.95000E-03,-92.25824E-03,-179.41265E-03
-21.92500E-03,-93.04342E-03,-179.41265E-03
-21.90000E-03,-92.25824E-03,-179.41265E-03
-21.87500E-03,-93.04342E-03,-179.41265E-03
-21.85000E-03,-93.04342E-03,-179.41265E-03
-21.82500E-03,-93.82860E-03,-180.19783E-03
-21.80000E-03,-93.04342E-03,-179.41265E-03
-21.77500E-03,-93.04342E-03,-179.41265E-03
-21.75000E-03,-93.04342E-03,-180.19783E-03
-21.72500E-03,-93.04342E-03,-179.41265E-03
-21.70000E-03,-92.25824E-03,-179.41265E-03
-21.67500E-03,-93.04342E-03,-180.19783E-03
-21.65000E-03,-93.04342E-03,-178.62747E-03
-21.62500E-03,-93.04342E-03,-178.62747E-03
-21.60000E-03,-93.82860E-03,-178.62747E-03
-21.57500E-03,-93.82860E-03,-179.41265E-03
-21.55000E-03,-93.04342E-03,-179.41265E-03
-21.52500E-03,-93.04342E-03,-179.41265E-03
-21.50000E-03,-92.25824E-03,-179.41265E-03
-21.47500E-03,-93.04342E-03,-179.41265E-03
-21.45000E-03,-93.04342E-03,-179.41265E-03
-21.42500E-03,-92.25824E-03,-179.41265E-03
-21.40000E-03,-93.04342E-03,-180.19783E-03
-21.37500E-03,-93.04342E-03,-180.19783E-03
-21.35000E-03,-93.04342E-03,-179.41265E-03
-21.32500E-03,-93.04342E-03,-179.41265E-03
-21.30000E-03,-93.04342E-03,-179.41265E-03
-21.27500E-03,-92.25824E-03,-179.41265E-03
-21.25000E-03,-93.04342E-03,-179.41265E-03
-21.22500E-03,-93.82860E-03,-179.41265E-03
-21.20000E-03,-93.04342E-03,-179.41265E-03
-21.17500E-03,-93.04342E-03,-179.41265E-03
-21.15000E-03,-93.04342E-03,-179.41265E-03
-21.12500E-03,-93.04342E-03,-179.41265E-03
-21.10000E-03,-93.04342E-03,-179.41265E-03
-21.07500E-03,-93.04342E-03,-179.41265E-03
-21.05000E-03,-92.25824E-03,-179.41265E-03
-21.02500E-03,-93.04342E-03,-178.62747E-03
-21.00000E-03,-93.82860E-03,-179.41265E-03
-20.97500E-03,-93.04342E-03,-178.62747E-03
-20.95000E-03,-93.04342E-03,-179.41265E-03
-20.92500E-03,-93.04342E-03,-178.62747E-03
-20.90000E-03,-93.82860E-03,-178.62747E-03
-20.87500E-03,-92.25824E-03,-178.62747E-03
-20.85000E-03,-92.25824E-03,-178.62747E-03
-20.82500E-03,-93.04342E-03,-178.62747E-03
-20.80000E-03,-93.04342E-03,-179.41265E-03
-20.77500E-03,-93.04342E-03,-179.41265E-03
-20.75000E-03,-93.04342E-03,-179.41265E-03
-20.72500E-03,-93.04342E-03,-178.62747E-03
-20.70000E-03,-92.25824E-03,-178.62747E-03
-20.67500E-03,-93.82860E-03,-179.41265E-03
-20.65000E-03,-93.04342E-03,-178.62747E-03
-20.62500E-03,-92.25824E-03,-179.41265E-03
-20.60000E-03,-93.04342E-03,-178.62747E-03
-20.57500E-03,-93.04342E-03,-179.41265E-03
-20.55000E-03,-93.04342E-03,-178.62747E-03
-20.52500E-03,-93.04342E-03,-179.41265E-03
-20.50000E-03,-93.04342E-03,-179.41265E-03
-20.47500E-03,-93.04342E-03,-178.62747E-03
-20.45000E-03,-93.04342E-03,-179.41265E-03
-20.42500E-03,-93.04342E-03,-179.41265E-03
-20.40000E-03,-93.04342E-03,-179.41265E-03
-20.37500E-03,-93.04342E-03,-178.62747E-03
-20.35000E-03,-93.04342E-03,-179.41265E-03
-20.32500E-03,-93.04342E-03,-179.41265E-03
-20.30000E-03,-93.04342E-03,-179.41265E-03
-20.27500E-03,-93.82860E-03,-178.62747E-03
-20.25000E-03,-93.04342E-03,-178.62747E-03
-20.22500E-03,-93.04342E-03,-178.62747E-03
-20.20000E-03,-93.04342E-03,-178.62747E-03
-20.17500E-03,-93.04342E-03,-179.41265E-03
-20.15000E-03,-93.82860E-03,-179.41265E-03
-20.12500E-03,-93.82860E-03,-179.41265E-03
-20.10000E-03,-93.82860E-03,-179.41265E-03
-20.07500E-03,-93.04342E-03,-178.62747E-03
-20.05000E-03,-93.04342E-03,-179.41265E-03
-20.02500E-03,-93.04342E-03,-179.41265E-03
-20.00000E-03,+8.75981469E+00,+8.96003466E+00
-19.97500E-03,+7.06619030E+00,+9.21678717E+00
-19.95000E-03,+5.70155461E+00,+9.35183742E+00
-19.92500E-03,+4.58346415E+00,+9.46254722E+00
-19.90000E-03,+3.70642269E+00,+9.51044295E+00
-19.87500E-03,+2.98406087E+00,+9.61408617E+00
-19.85000E-03,+2.42423047E+00,+9.66355225E+00
-19.82500E-03,+1.96097670E+00,+9.69652964E+00
-19.80000E-03,+1.59744026E+00,+9.74599572E+00
-19.77500E-03,+1.31870282E+00,+9.79232110E+00
-19.75000E-03,+1.09414252E+00,+9.82529848E+00
-19.72500E-03,+915.12242E-03,+9.84414270E+00
-19.70000E-03,+744.73925E-03,+9.85434999E+00
-19.67500E-03,+599.48171E-03,+9.86063140E+00
-19.65000E-03,+531.17141E-03,+9.86220175E+00
-19.62500E-03,+427.52819E-03,+9.86377210E+00
-19.60000E-03,+354.50683E-03,+9.86848316E+00
-19.57500E-03,+332.52191E-03,+9.87162386E+00
-19.55000E-03,+280.70030E-03,+9.87319421E+00
-19.52500E-03,+213.96035E-03,+9.87319421E+00
-19.50000E-03,+169.20533E-03,+9.87397939E+00
-19.47500E-03,+151.14628E-03,+9.87476456E+00
-19.45000E-03,+137.79829E-03,+9.87397939E+00
-19.42500E-03,+122.09477E-03,+9.87476456E+00
-19.40000E-03,+96.96914E-03,+9.87476456E+00
-19.37500E-03,+63.99176E-03,+9.87476456E+00
-19.35000E-03,+34.15507E-03,+9.87476456E+00
-19.32500E-03,+7.45909E-03,+9.87476456E+00
-19.30000E-03,-11.38513E-03,+9.87476456E+00
-19.27500E-03,-26.30347E-03,+9.87476456E+00
-19.25000E-03,-37.29593E-03,+9.87476456E+00
-19.22500E-03,-43.57734E-03,+9.87476456E+00
-19.20000E-03,-49.85875E-03,+9.87476456E+00
-19.17500E-03,-50.64392E-03,+9.87476456E+00
-19.15000E-03,-52.99945E-03,+9.87476456E+00
-19.12500E-03,-59.28086E-03,+9.87476456E+00
-19.10000E-03,-62.42156E-03,+9.87476456E+00
-19.07500E-03,-62.42156E-03,+9.87476456E+00
-19.05000E-03,-63.20674E-03,+9.87476456E+00
-19.02500E-03,-64.77709E-03,+9.87476456E+00
-19.00000E-03,-67.91779E-03,+9.87476456E+00
-18.97500E-03,-69.48814E-03,+9.87476456E+00
-18.95000E-03,-73.41402E-03,+9.87476456E+00
-18.92500E-03,-74.98438E-03,+9.87554974E+00
-18.90000E-03,-74.98438E-03,+9.87476456E+00
-18.87500E-03,-75.76955E-03,+9.87476456E+00
-18.85000E-03,-77.33990E-03,+9.87476456E+00
-18.82500E-03,-78.12508E-03,+9.87476456E+00
-18.80000E-03,-78.91025E-03,+9.87476456E+00
-18.77500E-03,-81.26578E-03,+9.87476456E+00
-18.75000E-03,-82.05096E-03,+9.87476456E+00
-18.72500E-03,-82.83613E-03,+9.87476456E+00
-18.70000E-03,-83.62131E-03,+9.87476456E+00
-18.67500E-03,-84.40649E-03,+9.87476456E+00
-18.65000E-03,-85.19166E-03,+9.87476456E+00
-18.62500E-03,-85.97684E-03,+9.87476456E+00
-18.60000E-03,-86.76201E-03,+9.87476456E+00
-18.57500E-03,-86.76201E-03,+9.87476456E+00
-18.55000E-03,-86.76201E-03,+9.87476456E+00
-18.52500E-03,-87.54719E-03,+9.87476456E+00
-18.50000E-03,-87.54719E-03,+9.87476456E+00
-18.47500E-03,-87.54719E-03,+9.87476456E+00
-18.45000E-03,-87.54719E-03,+9.87476456E+00
-18.42500E-03,-87.54719E-03,+9.87476456E+00
-18.40000E-03,-87.54719E-03,+9.87476456E+00
-18.37500E-03,-88.33237E-03,+9.87476456E+00
-18.35000E-03,-88.33237E-03,+9.87476456E+00
-18.32500E-03,-88.33237E-03,+9.87476456E+00
-18.30000E-03,-88.33237E-03,+9.87476456E+00
-18.27500E-03,-88.33237E-03,+9.87476456E+00
-18.25000E-03,-89.11754E-03,+9.87476456E+00
-18.22500E-03,-89.90272E-03,+9.87476456E+00
-18.20000E-03,-89.11754E-03,+9.87476456E+00
-18.17500E-03,-89.11754E-03,+9.87476456E+00
-18.15000E-03,-89.11754E-03,+9.87476456E+00
